,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1019,AB1019,Frazier (A) ,78,1,2,Floor,['Frazier (A) '],1,0
1022,AB1022,Wicks (A) ,65,2,13,Floor,['Wicks (A) '],1,0
1025,AB1025,Grayson (A) ,78,1,2,Floor,['Grayson (A) '],1,0
1026,AB1026,Wood (A) ,74,1,6,Floor,['Wood (A) '],1,0
1027,AB1027,Burke (A) ,67,1,13,Floor,['Burke (A) '],1,0
1028,AB1028,Gonzalez (A) ,76,1,4,Floor,['Gonzalez (A) '],1,0
1030,AB1030,"Calderon (A) , Petrie-Norris (A) ",73,1,7,Floor,"['Calderon (A) ', ' Petrie-Norris (A) ']",2,0
1031,AB1031,Nazarian (A) ,74,1,6,Floor,['Nazarian (A) '],1,0
1033,AB1033,Cooper (A) ,74,1,6,Floor,['Cooper (A) '],1,0
1035,AB1035,Mayes (A) ,77,1,3,Floor,['Mayes (A) '],0,1
1036,AB1036,Aguiar-Curry (A) ,59,16,5,Floor,['Aguiar-Curry (A) '],1,0
1037,AB1037,Gipson (A) ,76,1,4,Floor,['Gipson (A) '],1,0
1042,AB1042,Wood (A) ,78,1,2,Floor,['Wood (A) '],1,0
1043,AB1043,Irwin (A) ,76,1,4,Floor,['Irwin (A) '],1,0
1046,AB1046,Ting (A) ,55,21,4,Floor,['Ting (A) '],1,0
1051,AB1051,Smith (A) ,78,1,2,Floor,['Smith (A) '],1,0
1052,AB1052,Chu (A) ,78,1,2,Floor,['Chu (A) '],1,0
1053,AB1053,Dahle (A) ,76,1,4,Floor,['Dahle (A) '],0,1
1054,AB1054,Holden (A) ,77,1,3,Floor,['Holden (A) '],1,0
1057,AB1057,Limón (A) ,43,19,18,Floor,['Limón (A) '],1,0
1058,AB1058,Salas (A) ,78,1,2,Floor,['Salas (A) '],1,0
1061,AB1061,Gipson (A) ,78,1,2,Floor,['Gipson (A) '],1,0
1065,AB1065,Berman (A) ,72,1,8,Floor,['Berman (A) '],1,0
1066,AB1066,Gonzalez (A) ,51,19,10,Floor,['Gonzalez (A) '],1,0
1068,AB1068,Cooley (A) ,74,1,6,Floor,['Cooley (A) '],1,0
1072,AB1072,Patterson (A) ,74,1,6,Floor,['Patterson (A) '],0,1
